"provider","model_slug","model","condition","status","scheduled_events","fired_round","posts","comments","traces","football_noise_mentions","predicted_winner","confidence","used_injected_document","noise_contamination"
"deepinfra","gemma","google/gemma-3-27b-it","v2-baseline-control","completed","0","","4","0","11","0","Argentina","0.7","False","none"
"deepinfra","gemma","google/gemma-3-27b-it","v2-signal-strong-mid","completed","1","6","5","2","17","0","Argentina","1.0","True","none"
"deepinfra","gemma","google/gemma-3-27b-it","v2-signal-weak-mid","completed","1","6","6","0","14","0","Argentina","0.0","True","none"
"deepinfra","gemma","google/gemma-3-27b-it","v2-counter-colombia-mid","completed","1","6","6","0","12","0","Argentina","0.6","True","none"
"deepinfra","gemma","google/gemma-3-27b-it","v2-noise-near-mid","completed","1","6","6","0","14","6","Argentina","0.7","True","medium"
"deepinfra","gemma","google/gemma-3-27b-it","v2-noise-off-mid","completed","1","6","5","0","13","4","Argentina","0.8","False","low"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-baseline-control","completed","0","","4","3","16","0","Unclear","0.0","False","none"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-signal-strong-mid","completed","1","6","5","2","17","0","Argentina","0.63","True","none"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-signal-weak-mid","completed","1","6","5","1","13","0","Argentina","0.6","True","none"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-counter-colombia-mid","completed","1","6","5","2","16","0","Colombia","0.6","True","none"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-noise-near-mid","completed","1","6","5","1","13","6","Argentina","0.5","False","medium"
"deepinfra","llama","meta-llama/Llama-3.3-70B-Instruct-Turbo","v2-noise-off-mid","completed","1","6","5","2","17","4","Argentina","0.5","False","none"
