run_id,topic,model_key,model,condition,valid,event_expected,event_actual,manifest_status,is_real_mirofish_system,flow_provenance,simulation_id,prepared_simulation_id,post_count,comment_count,trace_count,user_count,evidence_note,output_dir
football-gemma-baseline-control-r20,football,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,False,frontend_replay_backend_api,sim_0d64742b0523,sim_0d64742b0523,7,2,31,6,artifact_evidence posts=7 traces=31,runs\s3_cross_topic\football\gemma\baseline-control-r20
football-gemma-signal-mid-r20,football,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,8,2,30,6,manifest_real,runs\s3_cross_topic\football\gemma\signal-mid-r20
football-llama-baseline-control-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,3,20,5,manifest_real,runs\s3_cross_topic\football\llama\baseline-control-r20
football-llama-signal-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,2,19,5,manifest_real,runs\s3_cross_topic\football\llama\signal-mid-r20
bolivia-gemma-baseline-control-r20,bolivia,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,6,33,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\baseline-control-r20
bolivia-gemma-signal-mid-r20,bolivia,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,5,34,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\signal-mid-r20
bolivia-llama-baseline-control-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,3,3,18,3,manifest_real,runs\s3_cross_topic\bolivia\llama\baseline-control-r20
bolivia-llama-signal-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,5,3,23,3,manifest_real,runs\s3_cross_topic\bolivia\llama\signal-mid-r20
ipc-gemma-baseline-control-r20,ipc,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,3,1,6,1,manifest_real,runs\s3_cross_topic\ipc\gemma\baseline-control-r20
ipc-gemma-signal-mid-r20,ipc,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,4,4,10,1,manifest_real,runs\s3_cross_topic\ipc\gemma\signal-mid-r20
ipc-llama-baseline-control-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,2,1,5,1,manifest_real,runs\s3_cross_topic\ipc\llama\baseline-control-r20
ipc-llama-signal-mid-r20,ipc,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_1e1dccf3fd15,sim_1e1dccf3fd15,3,2,10,1,manifest_real,runs\s3_cross_topic\ipc\llama\signal-mid-r20
