id,titulo,institucion,fecha,url,archivo_local,categoria,core_supporting_excluded,motivo,variables_extraibles,riesgo_de_leakage
MACRO_01,"Argentina Economic Outlook, December 2024 / 4Q24",BBVA Research,2024-12,https://www.bbvaresearch.com/wp-content/uploads/2024/12/Argentina-Economic-Outlook-4Q24.pdf,sources/MACRO_01_BBVA_Argentina_Economic_Outlook_Dec2024.pdf,macro,core,"Fuente privada core para escenario macro 2025: inflación, PBI, fiscal, tipo de cambio, reservas y sostenibilidad del ajuste.",crecimiento 2025; inflación 2025; tipo de cambio esperado; resultado fiscal; riesgos de reservas/cepo; límites políticos del ajuste,"BAJO: PDF estático pre-corte; usar copia local, no página índice."
MONETARY_01,The BCRA sets the crawling peg at 1% per month,Banco Central de la República Argentina,2025-01-16,https://www.bcra.gob.ar/en/news/el-bcra-establece-un-nuevo-sendero-de-desplazamiento-de-1-mensual-para-el-tipo-de-cambio/,sources/MONETARY_01_BCRA_Crawling_Peg_1pct_20250116.html,monetary,core,"Confirma oficialmente que el crawling peg baja a 1% mensual desde el 01/02/2025; clave para inflación, competitividad y reservas.",crawling peg 1% mensual; fecha de implementación 2025-02-01; ancla cambiaria nominal,MEDIO-BAJO: HTML oficial; guardado local para evitar cambios posteriores.
MACRO_02,"Índice de Precios al Consumidor, diciembre 2024",INDEC,2025-01-14,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_2517A7124C09.pdf,sources/MACRO_02_INDEC_IPC_Diciembre_2024.pdf,macro,core,Último dato oficial de inflación disponible antes del corte.,"IPC diciembre 2024 2,7% mensual; inflación acumulada 2024 117,8%; punto de partida de trayectoria 2025",BAJO: PDF oficial pre-corte.
MACRO_03,"Relevamiento de Expectativas de Mercado, diciembre 2024",BCRA,2025-01-07,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/relevamiento-expectativas-mercado-dic-2024.pdf,sources/MACRO_03_BCRA_REM_Diciembre_2024.pdf,macro,core,"Expectativas de mercado inmediatamente antes del corte; Reuters reportó desde este REM crecimiento esperado de 4,5% e inflación de 25,9% para 2025.","PBI 2025 esperado 4,5%; inflación 2025 esperada 25,9%; tipo de cambio esperado; expectativas fiscales/monetarias",BAJO: PDF directo; no usar landing dinámica REM.
FISCAL_01,El Sector Público Nacional registró superávit financiero anual por primera vez desde el 2010,Ministerio de Economía / Argentina.gob.ar,2025-01-17,https://www.argentina.gob.ar/noticias/el-sector-publico-nacional-registro-superavit-financiero-anual-por-primera-vez-desde-el,sources/FISCAL_01_MECON_Cierre_Fiscal_2024.html,institutional/macro,core,Fuente oficial para fiscal anchor y cierre fiscal 2024.,superávit primario 2024; superávit financiero 2024; consolidación fiscal; narrativa déficit cero,MEDIO-BAJO: página oficial HTML; guardada local para congelar contenido.
GEO_01,Argentina: Ex-post Evaluation of Exceptional Access under the 2022 Extended Fund Facility,IMF,2025-01-10,https://www.imf.org/-/media/files/publications/cr/2025/english/1argea2025001-print-pdf.pdf,sources/GEO_01_IMF_ExPost_Evaluation_202501.pdf,geopolitical/institutional,core,"Restricciones externas, FMI, cepo, reservas, tasas reales y sostenibilidad social.",riesgo de reservas; desmontaje de controles cambiarios; tasa real positiva; costo social del ajuste; condicionalidad externa,BAJO: PDF estático del FMI publicado antes del corte.
POL_01,Argentina: A 2025 Snapshot,Americas Quarterly,2025-01-14,https://americasquarterly.org/article/argentina-a-2025-snapshot/,sources/POL_01_AmericasQuarterly_Argentina_2025_Snapshot.html,electoral/geopolitical,core,"Framing político-electoral, midterms, aprobación, FMI y geopolítica. No es fuente macro primaria.",approval baseline; midterm stakes; deuda/FMI; US-China positioning; political risk framing,"MEDIO: HTML de medio; guardado local, requiere no usar live URL en corrida."
POLL_01,"Encuesta Nacional Argentina, diciembre 2024 / 1º año de gobierno",CB Consultora,2024-12-06,https://media.letrap.com.ar/adjuntos/349/documentos/100/145/0100145829.pdf,sources/POLL_01_CB_Consultora_Diciembre_2024.pdf,social/electoral,core,Opinión pública pre-corte; deterioro percibido de economía familiar vs aprobación resistente.,evaluación de economía del hogar; imagen/aprobación; polarización; tolerancia social al ajuste,BAJO-MEDIO: PDF de encuesta pre-corte; conservar copia local.
SOCIAL_01,Deudas sociales en la Argentina del siglo XXI (2004-2024): informe de subsistencia / pobreza,"Observatorio de la Deuda Social Argentina, UCA",2024-12-05,https://wadmin.uca.edu.ar/public/ckeditor/Observatorio%20Deuda%20Social/Presentaciones/2024/OBSERVATORIO-INF_SUBSISTENCIA_WEB.pdf,sources/SOCIAL_01_UCA_ODSA_Informe_Subsistencia_20241205.pdf,social,core,"Reemplaza el fallback periodístico con fuente oficial UCA/ODSA. Aporta pobreza 49,9% en 3°T2024 y estrés de subsistencia como contrapeso social al escenario macro.","pobreza 49,9% 3°T2024; indigencia; privaciones monetarias y no monetarias; capacidad de ahorro; insuficiencia de ingresos; estrés social",BAJO: PDF oficial UCA/ODSA pre-corte guardado localmente.
INST_01,La Cámara de Diputados respaldó el veto del Poder Ejecutivo a la ley jubilatoria,Honorable Cámara de Diputados de la Nación,2024-09-11,https://www.diputados.gob.ar/prensa/noticia/LA-CAMARA-DE-DIPUTADOS-RESPALDO-EL-VETO-DEL-PODER-EJECUTIVO-A-LA-LEY-JUBILATORIA/,sources/INST_01_Diputados_Veto_Ley_Jubilatoria_20240911.html,institutional,core,Reemplaza Diagonales con fuente oficial de Diputados para el veto shield: la Cámara no alcanzó dos tercios para rechazar el veto presidencial.,153 votos positivos para insistir; 87 negativos; 8 abstenciones; umbral de dos tercios; veto presidencial sostenido,BAJO-MEDIO: HTML oficial de Diputados pre-corte guardado localmente; no usar URL live durante S1.
