run_id,topic,model_key,model,condition,valid,event_expected,event_actual,manifest_status,is_real_mirofish_system,flow_provenance,simulation_id,prepared_simulation_id,post_count,comment_count,trace_count,user_count,evidence_note,output_dir
football-gemma-baseline-control-r20,football,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,False,frontend_replay_backend_api,sim_0d64742b0523,sim_0d64742b0523,7,2,31,6,artifact_evidence posts=7 traces=31,runs\s3_cross_topic\football\gemma\baseline-control-r20
football-gemma-signal-early-r20,football,gemma,google/gemma-3-27b-it,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,9,2,31,6,manifest_real,runs\s3_cross_topic\football\gemma\signal-early-r20
football-gemma-signal-mid-r20,football,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,8,2,30,6,manifest_real,runs\s3_cross_topic\football\gemma\signal-mid-r20
football-gemma-signal-late-r20,football,gemma,google/gemma-3-27b-it,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,7,3,34,6,manifest_real,runs\s3_cross_topic\football\gemma\signal-late-r20
football-gemma-counter-signal-mid-r20,football,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,8,1,33,6,manifest_real,runs\s3_cross_topic\football\gemma\counter-signal-mid-r20
football-gemma-noise-near-mid-r20,football,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,10,1,34,6,manifest_real,runs\s3_cross_topic\football\gemma\noise-near-mid-r20
football-gemma-noise-off-mid-r20,football,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_0d64742b0523,sim_0d64742b0523,8,2,35,6,manifest_real,runs\s3_cross_topic\football\gemma\noise-off-mid-r20
football-llama-baseline-control-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,3,20,5,manifest_real,runs\s3_cross_topic\football\llama\baseline-control-r20
football-llama-signal-early-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,5,27,5,manifest_real,runs\s3_cross_topic\football\llama\signal-early-r20
football-llama-signal-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,2,19,5,manifest_real,runs\s3_cross_topic\football\llama\signal-mid-r20
football-llama-signal-late-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,4,20,5,manifest_real,runs\s3_cross_topic\football\llama\signal-late-r20
football-llama-counter-signal-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,4,20,5,manifest_real,runs\s3_cross_topic\football\llama\counter-signal-mid-r20
football-llama-noise-near-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,6,4,20,5,manifest_real,runs\s3_cross_topic\football\llama\noise-near-mid-r20
football-llama-noise-off-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_2903c2fffa71,sim_2903c2fffa71,5,3,16,5,manifest_real,runs\s3_cross_topic\football\llama\noise-off-mid-r20
bolivia-gemma-baseline-control-r20,bolivia,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,6,33,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\baseline-control-r20
bolivia-gemma-signal-early-r20,bolivia,gemma,google/gemma-3-27b-it,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,2,28,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\signal-early-r20
bolivia-gemma-signal-mid-r20,bolivia,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,5,34,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\signal-mid-r20
bolivia-gemma-signal-late-r20,bolivia,gemma,google/gemma-3-27b-it,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,9,4,43,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\signal-late-r20
bolivia-gemma-counter-signal-mid-r20,bolivia,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,5,1,20,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\counter-signal-mid-r20
bolivia-gemma-noise-near-mid-r20,bolivia,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,3,31,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\noise-near-mid-r20
bolivia-gemma-noise-off-mid-r20,bolivia,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_97ea1fdbe89c,sim_97ea1fdbe89c,6,6,29,4,manifest_real,runs\s3_cross_topic\bolivia\gemma\noise-off-mid-r20
bolivia-llama-baseline-control-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,3,3,18,3,manifest_real,runs\s3_cross_topic\bolivia\llama\baseline-control-r20
bolivia-llama-signal-early-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,4,3,23,3,manifest_real,runs\s3_cross_topic\bolivia\llama\signal-early-r20
bolivia-llama-signal-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,5,3,23,3,manifest_real,runs\s3_cross_topic\bolivia\llama\signal-mid-r20
bolivia-llama-signal-late-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,4,5,22,3,manifest_real,runs\s3_cross_topic\bolivia\llama\signal-late-r20
bolivia-llama-counter-signal-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,5,4,26,3,manifest_real,runs\s3_cross_topic\bolivia\llama\counter-signal-mid-r20
bolivia-llama-noise-near-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,7,6,31,3,manifest_real,runs\s3_cross_topic\bolivia\llama\noise-near-mid-r20
bolivia-llama-noise-off-mid-r20,bolivia,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-off-mid,True,1,1,completed,True,existing_prepared_simulation_backend_api,sim_3e3386657572,sim_3e3386657572,4,3,23,3,manifest_real,runs\s3_cross_topic\bolivia\llama\noise-off-mid-r20
ipc-gemma-baseline-control-r20,ipc,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,completed,True,existing_prepared_simulation_backend_api,sim_d381ccba64dc,sim_d381ccba64dc,3,1,6,1,manifest_real,runs\s3_cross_topic\ipc\gemma\baseline-control-r20
