run_id,topic,model_key,model,condition,valid,event_expected,event_actual,posts,comments,traces,users,axis_a,axis_a_mentions,axis_b,axis_b_mentions,heuristic_prediction,noise_mentions,simulation_id,evidence_note
football-gemma-baseline-control-r20,football,gemma,google/gemma-3-27b-it,baseline-control,True,0,0,7,2,31,6,Argentina,12,Colombia,6,Argentina,0,sim_0d64742b0523,artifact_evidence posts=7 traces=31
football-gemma-signal-early-r20,football,gemma,google/gemma-3-27b-it,signal-early,True,1,1,9,2,31,6,Argentina,17,Colombia,5,Argentina,0,sim_0d64742b0523,manifest_real
football-gemma-signal-mid-r20,football,gemma,google/gemma-3-27b-it,signal-mid,True,1,1,8,2,30,6,Argentina,16,Colombia,3,Argentina,0,sim_0d64742b0523,manifest_real
football-gemma-signal-late-r20,football,gemma,google/gemma-3-27b-it,signal-late,True,1,1,7,3,34,6,Argentina,13,Colombia,4,Argentina,0,sim_0d64742b0523,manifest_real
football-gemma-counter-signal-mid-r20,football,gemma,google/gemma-3-27b-it,counter-signal-mid,True,1,1,8,1,33,6,Argentina,10,Colombia,9,Argentina,0,sim_0d64742b0523,manifest_real
football-gemma-noise-near-mid-r20,football,gemma,google/gemma-3-27b-it,noise-near-mid,True,1,1,10,1,34,6,Argentina,10,Colombia,3,Argentina,2,sim_0d64742b0523,manifest_real
football-gemma-noise-off-mid-r20,football,gemma,google/gemma-3-27b-it,noise-off-mid,True,1,1,8,2,35,6,Argentina,8,Colombia,4,Argentina,4,sim_0d64742b0523,manifest_real
football-llama-baseline-control-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,baseline-control,True,0,0,5,3,20,5,Argentina,11,Colombia,6,Argentina,0,sim_2903c2fffa71,manifest_real
football-llama-signal-early-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-early,True,1,1,5,5,27,5,Argentina,19,Colombia,8,Argentina,0,sim_2903c2fffa71,manifest_real
football-llama-signal-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-mid,True,1,1,5,2,19,5,Argentina,11,Colombia,5,Argentina,0,sim_2903c2fffa71,manifest_real
football-llama-signal-late-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,signal-late,True,1,1,5,4,20,5,Argentina,20,Colombia,4,Argentina,0,sim_2903c2fffa71,manifest_real
football-llama-counter-signal-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,counter-signal-mid,True,1,1,5,4,20,5,Argentina,14,Colombia,15,Colombia,0,sim_2903c2fffa71,manifest_real
football-llama-noise-near-mid-r20,football,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,noise-near-mid,True,1,1,6,4,20,5,Argentina,14,Colombia,10,Argentina,2,sim_2903c2fffa71,manifest_real
