id,titulo,institucion,fecha,url,archivo_local,categoria,core_supporting_excluded,motivo,variables_extraibles,riesgo_de_leakage
MARKET_01,"Bitcoin ETF Looks Very Likely Given These Bureaucratic SEC Steps",CoinDesk,2024-01-03,https://www.coindesk.com/markets/2024/01/03/bitcoin-etf-looks-very-likely-given-these-bureaucratic-sec-steps,sources/MARKET_01_CoinDesk_BTC_ETF_Likely_20240103.md,market/regulatory,core,"Señales burocráticas de la SEC confirman inminencia de aprobación. 98% de probabilidad. Detalla enmiendas S-1 y seed transaction de BlackRock.","probabilidad de aprobación 98%; fecha límite 10 ene; issuers competidores; precio BTC ~$46K; rally +61% desde octubre 2023","BAJO: markdown estático pre-cutoff."
MARKET_02,"If a Bitcoin ETF Is Approved, Here's What May Happen",CoinDesk,2024-01-05,https://www.coindesk.com/markets/2024/01/05/if-a-bitcoin-etf-is-approved-heres-what-may-happen,sources/MARKET_02_CoinDesk_ETF_Impact_Scenarios_20240105.md,market/analysis,core,"Escenarios de impacto post-aprobación: bullish consensus vs. escenarios de sell-the-news. Factor Grayscale. Rangos de proyección de flujos.","flujos estimados $500M–$100B; factor Grayscale; VanEck conservador; precedente BITO oct 2021; targets $50K–$56K a 1 mes","BAJO: markdown estático pre-cutoff."
RISK_01,"JPMorgan: ETF approval may be 'sell-the-news' event",CNBC / JPMorgan,2023-12-14,https://www.cnbc.com/2023/12/14/jpmorgan-is-skeptical-of-crypto-next-year-says-etf-approval-may-be-sell-the-news-event.html,sources/RISK_01_CNBC_JPMorgan_SellTheNews_20231214.md,risk/institutional,core,"Advertencia institucional pre-aprobación: JPMorgan cita rotación de capital existente (no dinero nuevo) y sobrecompra comparable a 2021.","sell-the-news probabilidad alta; capital rotation GBTC→ETF; BTC sobrecomprado vs. 2021; fair value JPMorgan $40K–$45K","BAJO: markdown estático pre-cutoff."
RISK_02,"Bitcoin in 2024: Why a Painful Sell the News Pullback Is Coming",InvestorPlace,2024-01-08,https://investorplace.com/2024/01/bitcoin-in-2024-why-a-painful-sell-the-news-pullback-is-coming/,sources/RISK_02_InvestorPlace_SellNews_Pullback_20240108.md,risk/analysis,core,"Argumento de mercados eficientes: precio ya descuenta 90–98% de probabilidad. Historial BITO oct 2021. CryptoQuant NUPL warning. Retroceso estimado 15–25%.","mercados eficientes; precedente BITO −21% 2 meses; NUPL euforia; retroceso posible $32K extremo","BAJO: markdown estático pre-cutoff."
RISK_03,"Peter Schiff Warns ETF Approval Rally Might Disappoint",Nasdaq / media,2024-01-08,https://www.nasdaq.com/articles/peter-schiff-warns-those-waiting-for-a-bitcoin-etf-approval-rally-might-be-left,sources/RISK_03_Nasdaq_PeterSchiff_Warning_20240108.md,risk/sentiment,supporting,"Voz contrarian prominente en CT. Señala que el mercado ya compró el rumor. Ridiculizado por CT mainstream — importante para modelar sesgo social.","compra el rumor; pocos compradores post-aprobación; sentimiento CT vs. institucionales","BAJO: markdown estático pre-cutoff."
ANALYST_01,"Bloomberg Intelligence: 90% ETF Approval Odds and 2024 Price Targets",Bloomberg Intelligence / analysts,2024-01-08,https://www.bloomberg.com/news/articles/2024-01-08/bitcoin-etf-approval-odds,sources/ANALYST_01_Bloomberg_ETF_Approval_Consensus_20240108.md,market/analyst,core,"Agregado de targets de analistas (Standard Chartered $100K; Tom Lee $150K–$180K; Matrixport $120K; VanEck conservador). Flujos estimados. Contexto halving abril 2024.","targets $100K–$180K fin 2024; flujos $5B–$100B; halving abril 2024 catalizador secundario; Seyffart/Balchunas 90%","BAJO: markdown estático pre-cutoff."
FLOW_01,"Capital Rotation: $62B from Altcoins to Bitcoin, Jan 4–7 2024",CryptoQuant,2024-01-07,https://cryptoquant.com/community/post/btc-dominance-capital-rotation-etf-jan2024,sources/FLOW_01_CryptoQuant_CapitalRotation_20240107.md,market/onchain,core,"Datos on-chain de rotación especulativa. NUPL en zona de euforia (0.62). Bitcoin dominance +3pp. Escenario extremo bajista $32K.","$62B rotación altcoin→BTC; dominance 52%→55%; NUPL 0.62 (euforia); retroceso extremo $32K; Fear & Greed +2.22","BAJO: markdown estático pre-cutoff."
SOCIAL_01,"Crypto Twitter Sentiment Snapshot — January 8–9 2024",CoinDesk social desk / CT aggregated,2024-01-09,https://www.coindesk.com/markets/2024/01/09/bitcoin-social-media-sentiment-etf,sources/SOCIAL_01_CryptoTwitter_Sentiment_Jan2024.md,social/sentiment,core,"Sentimiento dominante CT: doble catalizador ETF+halving = $100K+. Minoría: sell the news. Incidente hack SEC @SECGov el 9 ene — spike a $47.9K falso.","CT sentiment >80% bullish; narrativa doble catalizador; incidente hack @SECGov $47.9K; sentimiento sell-the-news ~15–20%","BAJO: markdown estático pre-cutoff."
EXCLUDED_01,"SEC approves spot Bitcoin ETFs",SEC / major media,2024-01-10,https://www.sec.gov/news/press-release/2024-2,,regulatory,excluded,"Post-cutoff: contiene el desenlace real. Queda como answer key.","N/A","CRÍTICO: ground truth directo."
EXCLUDED_02,"Bitcoin price January 10–17 2024",CoinGecko / CMC,2024-01-10 onwards,,,price data,excluded,"Precios post-aprobación son el ground truth del test. No debe entrar al input.","N/A","CRÍTICO: ground truth directo."
